Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
16/08/2024,Man United,Fulham,1,0,H,1.6,4.2,5.25
17/08/2024,Ipswich,Liverpool,0,2,A,8.5,5.5,1.33
17/08/2024,Arsenal,Wolves,2,0,H,1.18,7.5,13.0
17/08/2024,Everton,Brighton,0,3,A,2.63,3.3,2.63
17/08/2024,Newcastle,Southampton,1,0,H,1.36,5.25,8.0
17/08/2024,Nott'm Forest,Bournemouth,1,1,D,2.45,3.5,2.8
17/08/2024,West Ham,Aston Villa,1,2,A,2.45,3.6,2.75
18/08/2024,Brentford,Crystal Palace,2,1,H,2.4,3.4,2.9
18/08/2024,Chelsea,Man City,0,2,A,4.1,3.9,1.8
19/08/2024,Leicester,Tottenham,1,1,D,5.0,4.33,1.62
24/08/2024,Brighton,Man United,2,1,H,2.5,3.7,2.63
24/08/2024,Crystal Palace,West Ham,0,2,A,2.15,3.6,3.2
24/08/2024,Fulham,Leicester,2,1,H,1.8,3.75,4.2
24/08/2024,Man City,Ipswich,4,1,H,1.08,12.0,21.0
24/08/2024,Southampton,Nott'm Forest,0,1,A,2.55,3.3,2.8
24/08/2024,Tottenham,Everton,4,0,H,1.44,4.75,6.5
24/08/2024,Aston Villa,Arsenal,0,2,A,4.33,3.8,1.75
25/08/2024,Bournemouth,Newcastle,1,1,D,2.9,3.8,2.2
25/08/2024,Wolves,Chelsea,2,6,A,4.33,4.0,1.75
25/08/2024,Liverpool,Brentford,2,0,H,1.27,5.75,11.0
31/08/2024,Arsenal,Brighton,1,1,D,1.33,5.5,8.5
31/08/2024,Brentford,Southampton,3,1,H,1.75,3.9,4.33
31/08/2024,Everton,Bournemouth,2,3,A,2.75,3.4,2.55
31/08/2024,Ipswich,Fulham,1,1,D,3.0,3.5,2.3
31/08/2024,Leicester,Aston Villa,1,2,A,4.5,4.0,1.7
31/08/2024,Nott'm Forest,Wolves,1,1,D,2.0,3.7,3.7
31/08/2024,West Ham,Man City,1,3,A,7.0,5.5,1.38
01/09/2024,Chelsea,Crystal Palace,1,1,D,1.6,4.33,5.0
01/09/2024,Newcastle,Tottenham,2,1,H,2.5,4.0,2.5
01/09/2024,Man United,Liverpool,0,3,A,3.7,4.2,1.85
14/09/2024,Southampton,Man United,0,3,A,4.5,4.0,1.7
14/09/2024,Brighton,Ipswich,0,0,D,1.38,5.0,7.5
14/09/2024,Crystal Palace,Leicester,2,2,D,1.62,4.0,5.5
14/09/2024,Fulham,West Ham,1,1,D,2.38,3.25,3.0
14/09/2024,Liverpool,Nott'm Forest,0,1,A,1.22,6.5,12.0
14/09/2024,Man City,Brentford,2,1,H,1.18,8.0,12.0
14/09/2024,Aston Villa,Everton,3,2,H,1.5,4.2,6.5
14/09/2024,Bournemouth,Chelsea,0,1,A,3.4,3.8,2.0
15/09/2024,Tottenham,Arsenal,0,1,A,3.0,3.5,2.3
15/09/2024,Wolves,Newcastle,1,2,A,3.4,3.5,2.1
21/09/2024,West Ham,Chelsea,0,3,A,3.6,3.9,1.95
21/09/2024,Aston Villa,Wolves,3,1,H,1.57,4.2,5.25
21/09/2024,Fulham,Newcastle,3,1,H,3.0,3.4,2.4
21/09/2024,Leicester,Everton,1,1,D,2.45,3.4,2.88
21/09/2024,Liverpool,Bournemouth,3,0,H,1.3,6.25,9.0
21/09/2024,Southampton,Ipswich,1,1,D,2.25,3.5,3.2
21/09/2024,Tottenham,Brentford,3,1,H,1.55,4.5,5.5
21/09/2024,Crystal Palace,Man United,0,0,D,2.88,3.75,2.3
22/09/2024,Brighton,Nott'm Forest,2,2,D,1.75,3.75,4.75
22/09/2024,Man City,Arsenal,2,2,D,1.8,3.6,4.5
28/09/2024,Newcastle,Man City,1,1,D,5.25,4.33,1.6
28/09/2024,Arsenal,Leicester,4,2,H,1.17,8.0,15.0
28/09/2024,Brentford,West Ham,1,1,D,2.2,3.5,3.2
28/09/2024,Chelsea,Brighton,4,2,H,1.73,4.2,4.2
28/09/2024,Everton,Crystal Palace,2,1,H,2.7,3.3,2.63
28/09/2024,Nott'm Forest,Fulham,0,1,A,2.38,3.3,3.0
28/09/2024,Wolves,Liverpool,1,2,A,8.0,5.75,1.33
29/09/2024,Ipswich,Aston Villa,2,2,D,4.0,3.75,1.85
29/09/2024,Man United,Tottenham,0,3,A,2.35,3.75,2.75
30/09/2024,Bournemouth,Southampton,3,1,H,1.65,4.1,5.0
05/10/2024,Crystal Palace,Liverpool,0,1,A,6.0,4.5,1.5
